VegClass,ARDO_mean,polygon_id,overall_area,arundo_area,ardo_condition
Riverwash,0.005,139,0.38157099852241466,0.0019078549926120733,Knocked Down
Scrub,0.075,6,18.5069406330464,1.3880205474784801,Knocked Down
Scrub,0.05,164,5.149463236481577,0.25747316182407887,Standing
Scrub,0.03,3,7.7774805405076055,0.23332441621522815,Knocked Down
Scrub,0.03,49,1.194583715651413,0.03583751146954239,Knocked Down
Scrub,0.03,50,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,51,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,52,0,0,Knocked Down
Scrub,0.03,53,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,54,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,55,0,0,Knocked Down
Scrub,0.03,56,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,57,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,58,0,0,Knocked Down
Scrub,0.03,59,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,60,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,61,0,0,Knocked Down
Scrub,0.03,62,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,63,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,64,0,0,Knocked Down
Scrub,0.03,65,1.4383413538760275e-14,4.3150240616280826e-16,Knocked Down
Scrub,0.03,66,0.742809990899056,0.022284299726971678,Standing
Scrub,0.03,67,2.876682707752055e-14,8.630048123256165e-16,Knocked Down
Scrub,0.03,68,0.7346419043069065,0.022039257129207193,Knocked Down
Scrub,0.03,82,0.14914417411145342,0.004474325223343603,Knocked Down
Scrub,0.03,83,16.88161459265697,0.506448437779709,Knocked Down
Scrub,0.03,84,5.75336541550411e-14,1.726009624651233e-15,Knocked Down
Scrub,0.03,85,5.986647084257862,0.17959941252773584,Standing
Scrub,0.03,86,5.75336541550411e-14,1.726009624651233e-15,Knocked Down
Scrub,0.03,120,3.242841552318017,0.0972852465695405,Knocked Down
Scrub,0.03,151,1.2022201095104215,0.036066603285312644,Knocked Down
Scrub,0.03,152,1.150673083100822e-13,3.452019249302466e-15,Knocked Down
Scrub,0.03,153,0.7778083964508231,0.023334251893524692,Knocked Down
Scrub,0.03,154,1.150673083100822e-13,3.452019249302466e-15,Knocked Down
Scrub,0.03,155,1.726009624651233e-13,5.178028873953699e-15,Knocked Down
Scrub,0.03,156,1.726009624651233e-13,5.178028873953699e-15,Knocked Down
Scrub,0.03,157,1.150673083100822e-13,3.452019249302466e-15,Knocked Down
Scrub,0.03,158,0,0,Knocked Down
Scrub,0.03,159,5.75336541550411e-14,1.726009624651233e-15,Knocked Down
Scrub,0.03,160,1.150673083100822e-13,3.452019249302466e-15,Knocked Down
Scrub,0.03,161,0,0,Knocked Down
Scrub,0.03,162,5.75336541550411e-14,1.726009624651233e-15,Knocked Down
Scrub,0.03,163,1.150673083100822e-13,3.452019249302466e-15,Knocked Down
Scrub,0.03,165,0,0,Knocked Down
Scrub,0.03,179,0.31886674370996626,0.009566002311298987,Knocked Down
Scrub,0.03,180,0.24302319367727804,0.007290695810318341,Standing
Scrub,0.02,39,0.10848778457365305,0.002169755691473061,Knocked Down
Scrub,0.02,40,1.8257406945251846,0.03651481389050369,Knocked Down
Scrub,0.01,35,0.7964603514343902,0.007964603514343901,Standing
Scrub,0.01,44,0.03159155588666044,3.159155588666044e-4,Standing
Scrub,0.005,1,2.58360776608828,0.012918038830441401,Knocked Down
Scrub,0.005,4,5.818081231882975e-4,2.9090406159414878e-6,Knocked Down
Scrub,0.005,5,6.301058450505777,0.031505292252528884,Knocked Down
Scrub,0.005,7,13.281115981437333,0.06640557990718667,Knocked Down
Scrub,0.005,8,1.336610735872133,0.006683053679360665,Knocked Down
Scrub,0.005,11,1.0636179511302992,0.005318089755651496,Knocked Down
Scrub,0.005,12,1.2407484308151546,0.006203742154075773,Knocked Down
Scrub,0.005,13,0.5465164601675588,0.0027325823008377942,Knocked Down
Scrub,0.005,14,1.151700417447183,0.005758502087235915,Knocked Down
Scrub,0.005,32,2.0943873882956163,0.010471936941478082,Knocked Down
Scrub,0.005,33,6.059955158216284,0.03029977579108142,Knocked Down
Scrub,0.005,34,4.3150240616280826e-14,2.1575120308140413e-16,Knocked Down
Scrub,0.005,36,1.0787560154070206e-14,5.393780077035103e-17,Knocked Down
Scrub,0.005,38,2.6856960690157368,0.013428480345078684,Knocked Down
Scrub,0.005,43,1.5350140941959687,0.007675070470979844,Knocked Down
Scrub,0.005,45,4.14686031677179,0.02073430158385895,Standing
Scrub,0.005,46,1.361374992090894,0.00680687496045447,Knocked Down
Scrub,0.005,47,2.301346166201644e-13,1.150673083100822e-15,Knocked Down
Scrub,0.005,71,1.076220343549944,0.00538110171774972,Knocked Down
Scrub,0.005,73,4.021046138889595,0.020105230694447977,Standing
Scrub,0.005,74,6.756973251033416,0.03378486625516708,Knocked Down
Scrub,0.005,75,1.3910168639270413,0.006955084319635207,Knocked Down
Scrub,0.005,78,2.088675048850442,0.010443375244252212,Knocked Down
Scrub,0.005,80,1.1337928315169654,0.005668964157584827,Knocked Down
Scrub,0.005,99,5.663646236280341,0.028318231181401705,Knocked Down
Scrub,0.005,102,2.063235693139165,0.010316178465695824,Knocked Down
Scrub,0.005,103,2.166009835982652,0.01083004917991326,Knocked Down
Scrub,0.005,105,3.382584468790293,0.016912922343951465,Knocked Down
Scrub,0.005,107,0.8927792126418318,0.0044638960632091594,Knocked Down
Scrub,0.005,110,0.8590534413231696,0.004295267206615848,Knocked Down
Scrub,0.005,112,2.155730956271397,0.010778654781356985,Knocked Down
Scrub,0.005,113,0.4463607832245438,0.002231803916122719,Knocked Down
Scrub,0.005,114,2.062283232517979,0.010311416162589895,Knocked Down
Scrub,0.005,118,1.6637824638605174,0.008318912319302587,Knocked Down
Scrub,0.005,121,1.49854099263339,0.00749270496316695,Knocked Down
Scrub,0.005,122,0.2510134861536415,0.0012550674307682075,Knocked Down
Scrub,0.005,125,0.45092892934648426,0.002254644646732421,Knocked Down
Scrub,0.005,133,0.4300818737193961,0.0021504093685969805,Knocked Down
Scrub,0.005,134,0.34575526126208583,0.0017287763063104293,Knocked Down
Scrub,0.005,138,0.1899550655344199,9.497753276720996e-4,Knocked Down
Scrub,0.005,140,1.7917748214440168,0.008958874107220084,Knocked Down
Scrub,0.005,141,0.6822017769505629,0.003411008884752815,Knocked Down
Scrub,0.005,142,1.3734294459038663,0.006867147229519331,Knocked Down
Scrub,0.005,143,7.032756375228,0.03516378187614,Knocked Down
Scrub,0.005,145,1.346740950647101,0.006733704753235505,Knocked Down
Scrub,0.005,149,0.5976136852222925,0.0029880684261114625,Knocked Down
Scrub,0.005,150,1.8174299694539453,0.009087149847269728,Knocked Down
Wetland,0.005,72,1.2802974459730947,0.006401487229865474,Standing
Woodland,0.4,169,2.4202188244102105,0.9680875297640843,Standing
Woodland,0.375,96,0.4137791080499623,0.15516716551873588,Standing
Woodland,0.375,97,27.884073146492668,10.45652742993475,Knocked Down
Woodland,0.375,166,0.15512382959350793,0.058171436097565477,Knocked Down
Woodland,0.375,167,1.3813785420577052,0.5180169532716394,Knocked Down
Woodland,0.375,168,1.150673083100822e-13,4.3150240616280826e-14,Knocked Down
Woodland,0.375,171,0.8554360568411606,0.3207885213154352,Standing
Woodland,0.375,172,2.301346166201644e-13,8.630048123256165e-14,Knocked Down
Woodland,0.375,173,0.08637869513691049,0.03239201067634143,Standing
Woodland,0.375,174,1.3484450192587758e-15,5.056668822220409e-16,Knocked Down
Woodland,0.375,175,1.150673083100822e-13,4.3150240616280826e-14,Knocked Down
Woodland,0.375,176,5.75336541550411e-14,2.1575120308140413e-14,Knocked Down
Woodland,0.375,177,5.75336541550411e-14,2.1575120308140413e-14,Knocked Down
Woodland,0.375,178,1.8030579468575183,0.6761467300715693,Knocked Down
Woodland,0.375,182,14.001839203621113,5.250689701357917,Knocked Down
Woodland,0.375,183,0.2944979738837905,0.11043674020642144,Knocked Down
Woodland,0.375,185,6.904038498604932e-13,2.5890144369768493e-13,Knocked Down
Woodland,0.375,186,3.452019249302466e-13,1.2945072184884246e-13,Knocked Down
Woodland,0.375,187,2.301346166201644e-13,8.630048123256165e-14,Knocked Down
Woodland,0.375,188,1.150673083100822e-13,4.3150240616280826e-14,Knocked Down
Woodland,0.375,189,0,0,Knocked Down
Woodland,0.375,190,15.304277770501345,5.739104163938005,Knocked Down
Woodland,0.375,191,1.150673083100822e-13,4.3150240616280826e-14,Knocked Down
Woodland,0.175,77,2.338460216982661,0.4092305379719657,Knocked Down
Woodland,0.175,90,2.8782412348301083,0.5036922160952689,Knocked Down
Woodland,0.175,91,5.380153456043847,0.9415268548076732,Knocked Down
Woodland,0.175,135,0.3089626290353489,0.05406846008118605,Knocked Down
Woodland,0.15,42,4.392044194199168,0.6588066291298752,Standing
Woodland,0.1,170,1.4059445363471321,0.1405944536347132,Standing
Woodland,0.1,184,1.3035479974504354,0.13035479974504355,Standing
Woodland,0.075,15,9.281130133157308,0.6960847599867981,Knocked Down
Woodland,0.075,16,2.0136778954264385e-13,1.510258421569829e-14,Knocked Down
Woodland,0.075,17,8.630048123256165e-14,6.472536092442123e-15,Knocked Down
Woodland,0.075,18,8.630048123256165e-14,6.472536092442123e-15,Knocked Down
Woodland,0.075,19,2.876682707752055e-14,2.1575120308140412e-15,Knocked Down
Woodland,0.075,20,0.09737887415705256,0.007303415561778942,Knocked Down
Woodland,0.075,21,5.75336541550411e-14,4.3150240616280824e-15,Knocked Down
Woodland,0.075,22,10.341586204149118,0.7756189653111839,Knocked Down
Woodland,0.075,23,5.75336541550411e-14,4.3150240616280824e-15,Knocked Down
Woodland,0.075,24,1.726009624651233e-13,1.2945072184884246e-14,Knocked Down
Woodland,0.075,25,0.24927501606736982,0.018695626205052735,Standing
Woodland,0.075,26,1.5802362032980126,0.11851771524735094,Standing
Woodland,0.075,27,1.150673083100822e-13,8.630048123256165e-15,Knocked Down
Woodland,0.075,28,3.6521189669268304,0.27390892251951227,Knocked Down
Woodland,0.075,76,1.6507078025401103,0.12380308519050827,Knocked Down
Woodland,0.075,192,3.298948075902563,0.2474211056926922,Knocked Down
Woodland,0.04,98,9.205384664806576e-13,3.68215386592263e-14,Standing
Woodland,0.03,30,10.254680211646711,0.3076404063494013,Knocked Down
Woodland,0.03,41,1.1960921813002066,0.035882765439006196,Knocked Down
Woodland,0.03,69,7.8614752006977815,0.23584425602093342,Knocked Down
Woodland,0.03,79,3.304085887371282,0.09912257662113845,Knocked Down
Woodland,0.03,146,2.460367136077864,0.07381101408233591,Knocked Down
Woodland,0.03,147,1.1826111787931626,0.035478335363794876,Knocked Down
Woodland,0.03,148,0.47070212679505125,0.014121063803851537,Knocked Down
Woodland,0.005,2,1.5645647238894735,0.007822823619447368,Knocked Down
Woodland,0.005,29,18.265977482704194,0.09132988741352098,Knocked Down
Woodland,0.005,31,2.715763944506638,0.013578819722533192,Knocked Down
Woodland,0.005,81,17.881890275012633,0.08940945137506316,Knocked Down
Woodland,0.005,94,3.514882729368929,0.017574413646844644,Knocked Down
Woodland,0.005,106,8.21261567458694,0.04106307837293471,Knocked Down
Woodland,0.005,116,1.3662593286353493,0.006831296643176747,Knocked Down
Woodland,0.005,119,3.153742146185562,0.01576871073092781,Knocked Down
Woodland,0.005,123,0.1360234908584359,6.801174542921796e-4,Knocked Down
Woodland,0.005,124,0.1111226147840408,5.55613073920204e-4,Knocked Down
Woodland,0.005,126,0.09465557348449934,4.732778674224967e-4,Knocked Down
Woodland,0.005,129,0.3454590159127327,0.0017272950795636636,Knocked Down
Woodland,0.005,130,0.06241361811905659,3.1206809059528294e-4,Knocked Down
Woodland,0.005,131,0.06905791577661759,3.4528957888308793e-4,Knocked Down
Woodland,0.005,136,0.744084193383125,0.003720420966915625,Knocked Down
Woodland,0.005,137,0.37319744662143217,0.001865987233107161,Knocked Down
Woodland,0.005,195,0.2195182798028734,0.0010975913990143669,Knocked Down
